#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000638264.1	chr1	+	11013727	11022651	11013727	11022651	5	11013727,11016843,11020498,11022123,11022352,	11013965,11016861,11020599,11022241,11022651,	A0A1W2PNU8	uc285gal.1
ENST00000649624.1	chr1	+	11013727	11023234	11013727	11023234	6	11013727,11016843,11018732,11020428,11022123,11023192,	11013965,11017007,11018873,11020599,11022177,11023234,	A0A0A0N0M3	uc285gam.1
ENST00000616545.4	chr1	+	11013727	11023341	11013727	11023327	6	11013727,11016843,11018732,11020428,11022123,11023262,	11013965,11017007,11018873,11020599,11022250,11023341,	A0A087X260	uc057cec.1
ENST00000621790.4	chr1	+	11013727	11023341	11013727	11023248	6	11013727,11016843,11018732,11020428,11022123,11023192,	11013965,11017007,11018873,11020599,11022268,11023341,	A0A087WYY0	uc057ced.1
ENST00000622057.4	chr1	+	11016858	11023287	11016858	11023183	5	11016858,11018732,11020428,11022123,11023160,	11017007,11018873,11020599,11022241,11023287,	A0A087WXQ5	uc057cee.1
ENST00000617172.4	chr1	+	11016864	11023590	11016864	11023248	5	11016864,11018732,11020428,11022123,11023192,	11017007,11018873,11020599,11022250,11023590,	A0A087WV68	uc057cef.1
ENST00000618606.1	chr1	+	11016877	11019186	11016877	11016877	2	11016877,11018732,	11017007,11019186,		uc057ceg.1
ENST00000611963.4	chr1	+	11016965	11024193	11016965	11023248	6	11016965,11018732,11020428,11022123,11023192,11024063,	11017007,11018873,11020599,11022241,11023329,11024193,	A0A087WXV3	uc057ceh.1
ENST00000620632.4	chr1	+	11018779	11024043	11018779	11023248	5	11018779,11020428,11022123,11023192,11023866,	11018873,11020599,11022250,11023329,11024043,	A0A087WX67	uc057cei.1
ENST00000619555.4	chr1	+	11018779	11024184	11018779	11023183	5	11018779,11020428,11022123,11023160,11024063,	11018873,11020599,11022250,11023329,11024184,	A0A087WW61	uc057cej.1
ENST00000610369.4	chr1	+	11018852	11024043	11018852	11023327	5	11018852,11020428,11022123,11023262,11023866,	11018873,11020599,11022250,11023329,11024043,	A0A087WZC9	uc057cek.1
ENST00000614494.1	chr1	+	11020432	11024183	11020432	11023170	4	11020432,11022123,11023155,11024063,	11020599,11022177,11023329,11024183,	A0A087WZM1	uc057cel.1
ENST00000477447.6	chr1	+	11020586	11025207	11020586	11023248	5	11020586,11022123,11023192,11024301,11025109,	11020599,11022250,11023329,11024335,11025207,	K7EL26	uc057cen.1
ENST00000620505.1	chr1	+	11022307	11025221	11022307	11022654	3	11022307,11023192,11025109,	11022715,11023329,11025221,	A0A087WVX6	uc057cep.1
ENST00000621573.1	chr1	+	11022547	11024273	11022547	11022654	2	11022547,11024063,	11023329,11024273,	A0A087WTG4	uc057ceq.1
ENST00000611008.4	chr1	+	11022817	11025492	11022817	11022817	3	11022817,11024301,11025109,	11023329,11024335,11025492,		uc057cer.1
ENST00000613177.1	chr1	+	11023044	11025203	11023044	11023044	2	11023044,11025109,	11023329,11025203,		uc057ces.1
ENST00000496840.1	chr1	+	11023197	11025739	11023197	11023248	4	11023197,11024063,11025109,11025550,	11023329,11024335,11025208,11025739,	K7ENM9	uc057cet.1
ENST00000617757.1	chr1	+	11023322	11024152	11023322	11023322	2	11023322,11024063,	11023667,11024152,		uc057cev.1
ENST00000480464.2	chr1	+	11023928	11025492	11023928	11023928	2	11023928,11025109,	11024335,11025492,		uc057cew.1
