#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000610945.1	chr12	-	64451590	64452901	64451590	64451590	1	64451590,	64452901,		uc058qjq.1
ENST00000651014.1	chr12	+	64452141	64502049	64460257	64501381	22	64452141,64455839,64457907,64460188,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452187,64455957,64458018,64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64502049,	A0A494C167	uc287gsw.1
ENST00000538890.5	chr12	+	64452189	64464415	64455870	64464415	4	64452189,64455839,64460188,64464333,	64452395,64455957,64460329,64464415,	F5H1A3	uc058qjr.1
ENST00000651878.1	chr12	+	64452339	64502048	64455870	64479733	22	64452339,64455839,64460188,64464333,64466900,64474229,64479711,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496366,64496948,64497162,64497647,64497967,64501329,	64452395,64455957,64460329,64464463,64467082,64474390,64479918,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64502048,	A0A494C1I2	uc287hzt.1
ENST00000540417.1	chr12	+	64452450	64464399	64455870	64464399	4	64452450,64455839,64460188,64464333,	64452638,64455957,64460329,64464399,	F5H206	uc058qjs.1
ENST00000539810.1	chr12	+	64452474	64464406	64460257	64464406	4	64452474,64455916,64460188,64464333,	64452638,64455957,64460329,64464406,	F5GZI4	uc058qjt.1
ENST00000650708.1	chr12	+	64460225	64501905	64460225	64496233	19	64460225,64464333,64466900,64474229,64480011,64481841,64484302,64485454,64485925,64488486,64490040,64495482,64495698,64496201,64496948,64497166,64497647,64497967,64501329,	64460329,64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490119,64495604,64495775,64496406,64497050,64497259,64497754,64498039,64501905,	A0A494C0R4	uc287ghg.1
ENST00000651889.1	chr12	+	64464354	64490452	64464354	64464354	10	64464354,64466900,64474229,64480011,64481841,64484302,64485454,64485957,64488486,64490040,	64464463,64467082,64474390,64480122,64482021,64484499,64485513,64486017,64488588,64490452,		uc287iae.1
ENST00000545025.1	chr12	+	64484040	64485486	64484040	64484040	2	64484040,64485454,	64484499,64485486,		uc058qju.1
ENST00000536906.1	chr12	+	64484406	64488586	64484406	64484406	3	64484406,64485454,64488486,	64484499,64486017,64488586,		uc058qjv.1
ENST00000541805.1	chr12	+	64495367	64495931	64495367	64495367	2	64495367,64495698,	64495604,64495931,		uc058qjw.1
ENST00000545392.1	chr12	+	64497013	64497921	64497013	64497013	3	64497013,64497162,64497647,	64497050,64497259,64497921,		uc058qjx.1
