#name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENST00000558155.1	chr15	-	44585837	44596346	44592416	44596346	4	44585837,44589251,44592330,44596059,	44585850,44589414,44592438,44596346,	H0YLK0	uc059ipu.1
ENST00000561391.1	chr15	-	44596115	44597172	44596115	44596115	2	44596115,44596783,	44596355,44597172,		uc059ipv.1
ENST00000558561.1	chr15	-	44596803	44598679	44596803	44596803	2	44596803,44598264,	44596943,44598679,		uc059ipw.1
ENST00000558093.1	chr15	-	44598353	44606158	44598353	44598353	4	44598353,44598630,44600466,44606024,	44598373,44598836,44600632,44606158,		uc059ipx.1
ENST00000558988.5	chr15	-	44600259	44610857	44600462	44610857	4	44600259,44606024,44608443,44610839,	44600632,44606091,44608605,44610857,	H0YN96	uc059ipy.1
ENST00000559754.1	chr15	-	44600563	44610859	44604123	44610859	5	44600563,44604104,44606024,44608443,44610839,	44600632,44604197,44606091,44608605,44610859,	H0YM73	uc059ipz.1
ENST00000560435.1	chr15	-	44613508	44620305	44620173	44620305	3	44613508,44615362,44620124,	44613536,44615566,44620305,	H0YK24	uc059iqa.1
ENST00000558989.1	chr15	-	44615427	44621866	44615427	44615427	2	44615427,44620189,	44615566,44621866,		uc059iqb.1
ENST00000559193.5	chr15	-	44622475	44663658	44622703	44663647	12	44622475,44626330,44628668,44629232,44633504,44648865,44651490,44652128,44657094,44659078,44660431,44663390,	44622799,44626507,44628844,44629388,44633637,44649011,44651939,44652266,44657296,44659303,44660616,44663658,	H0YN34	uc001zua.2
ENST00000557866.1	chr15	-	44633469	44651644	44633469	44651644	3	44633469,44648865,44651490,	44633637,44649011,44651644,	A0A075B718	uc059iqc.1
